id,code snippet
35,"while True
    do_something()
# Sample ID: 451"
36,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 610"
37,"if x == 5:
    print('x is 5')
# Sample ID: 291"
38,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 79"
39,"def foo()
    print('Missing colon in function definition')
# Sample ID: 255"
40,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 125"
41,"x = [1, 2, 3]
print(x)
# Sample ID: 928"
42,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 252"
43,"while True
    do_something()
# Sample ID: 586"
44,"x = [1, 2, 3]
print(x)
# Sample ID: 569"
45,"if x = 5:
    print('x is 5')
# Sample ID: 825"
46,"def foo()
    print('Missing colon in function definition')
# Sample ID: 508"
47,"x = [1, 2, 3]
print x
# Sample ID: 890"
48,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 71"
49,"for i in range(10):
    print(i)
# Sample ID: 609"
50,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 533"
51,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 248"
52,"while True:
    do_something()
# Sample ID: 451"
53,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 213"
54,"for i in range(10):
print(i)
# Sample ID: 910"
55,"while True:
    do_something()
# Sample ID: 742"
56,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 245"
57,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 697"
58,"for i in range(10):
    print(i)
# Sample ID: 183"
59,"for i in range(10):
print(i)
# Sample ID: 362"
60,"while True:
    do_something()
# Sample ID: 474"
61,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 679"
62,"while True:
    do_something()
# Sample ID: 622"
63,"x = [1, 2, 3]
print(x)
# Sample ID: 90"
64,"x = [1, 2, 3]
print(x)
# Sample ID: 988"
65,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 848"
66,"x = [1, 2, 3]
print x
# Sample ID: 988"
67,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 513"
68,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 112"
69,"def add(a, b):
    return a + b
# Sample ID: 488"
70,"for i in range(10):
    print(i)
# Sample ID: 454"
71,"while True
    do_something()
# Sample ID: 384"
72,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 396"
73,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 55"
74,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 756"
75,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 325"
76,"for i in range(10):
    print(i)
# Sample ID: 624"
77,"x = [1, 2, 3]
print x
# Sample ID: 788"
78,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 369"
79,"while True:
    do_something()
# Sample ID: 820"
80,"if x = 5:
    print('x is 5')
# Sample ID: 70"
81,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 858"
82,"def add(a, b):
    return a + b
# Sample ID: 484"
83,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 556"
84,"x = [1, 2, 3]
print(x)
# Sample ID: 692"
85,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 475"
86,"for i in range(10):
    print(i)
# Sample ID: 799"
87,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 479"
88,"def foo()
    print('Missing colon in function definition')
# Sample ID: 282"
89,"while True:
    do_something()
# Sample ID: 648"
90,"while True:
    do_something()
# Sample ID: 557"
91,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 730"
92,"for i in range(10):
print(i)
# Sample ID: 211"
93,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 298"
94,"if x == 5:
    print('x is 5')
# Sample ID: 885"
95,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 834"
96,"while True
    do_something()
# Sample ID: 652"
97,"for i in range(10):
    print(i)
# Sample ID: 234"
98,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 503"
99,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 932"
100,"while True
    do_something()
# Sample ID: 917"
101,"x = [1, 2, 3]
print x
# Sample ID: 994"
102,"def add(a, b)
    return a + b
# Sample ID: 430"
103,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 371"
104,"for i in range(10):
print(i)
# Sample ID: 240"
105,"if x = 5:
    print('x is 5')
# Sample ID: 880"
106,"for i in range(10):
print(i)
# Sample ID: 621"
107,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 257"
108,"while True
    do_something()
# Sample ID: 612"
109,"while True
    do_something()
# Sample ID: 545"
110,"if x = 5:
    print('x is 5')
# Sample ID: 772"
111,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 420"
112,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 42"
113,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 790"
114,"for i in range(10):
print(i)
# Sample ID: 760"
115,"def foo()
    print('Missing colon in function definition')
# Sample ID: 383"
116,"if x == 5:
    print('x is 5')
# Sample ID: 104"
117,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 974"
118,"for i in range(10):
print(i)
# Sample ID: 353"
119,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 606"
120,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 826"
121,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 37"
122,"if x == 5:
    print('x is 5')
# Sample ID: 108"
123,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 495"
124,"x = [1, 2, 3]
print x
# Sample ID: 394"
125,"for i in range(10):
    print(i)
# Sample ID: 547"
126,"x = [1, 2, 3]
print x
# Sample ID: 465"
127,"if x = 5:
    print('x is 5')
# Sample ID: 887"
128,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 194"
129,"def foo()
    print('Missing colon in function definition')
# Sample ID: 367"
130,"for i in range(10):
    print(i)
# Sample ID: 894"
131,"if x == 5:
    print('x is 5')
# Sample ID: 874"
132,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 745"
133,"def add(a, b)
    return a + b
# Sample ID: 530"
134,"def foo()
    print('Missing colon in function definition')
# Sample ID: 803"
135,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 224"
136,"def add(a, b):
    return a + b
# Sample ID: 979"
137,"for i in range(10):
    print(i)
# Sample ID: 906"
138,"for i in range(10):
    print(i)
# Sample ID: 700"
139,"while True:
    do_something()
# Sample ID: 545"
140,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 314"
141,"x = [1, 2, 3]
print x
# Sample ID: 307"
142,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 667"
143,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 863"
144,"def add(a, b):
    return a + b
# Sample ID: 567"
145,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 531"
146,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 655"
147,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 260"
148,"for i in range(10):
print(i)
# Sample ID: 234"
149,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 121"
150,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 698"
151,"if x = 5:
    print('x is 5')
# Sample ID: 950"
152,"if x = 5:
    print('x is 5')
# Sample ID: 618"
153,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 179"
154,"def add(a, b)
    return a + b
# Sample ID: 308"
155,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 136"
156,"while True
    do_something()
# Sample ID: 555"
157,"if x == 5:
    print('x is 5')
# Sample ID: 674"
158,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 584"
159,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 641"
160,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 671"
161,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 835"
162,"if x = 5:
    print('x is 5')
# Sample ID: 110"
163,"if x == 5:
    print('x is 5')
# Sample ID: 165"
164,"def add(a, b):
    return a + b
# Sample ID: 960"
165,"x = [1, 2, 3]
print(x)
# Sample ID: 465"
166,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 729"
167,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 243"
168,"while True
    do_something()
# Sample ID: 212"
169,"for i in range(10):
    print(i)
# Sample ID: 768"
170,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 121"
171,"x = [1, 2, 3]
print x
# Sample ID: 680"
172,"while True:
    do_something()
# Sample ID: 951"
173,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 839"
174,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 412"
175,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 325"
176,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 783"
177,"def add(a, b):
    return a + b
# Sample ID: 346"
178,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 875"
179,"x = [1, 2, 3]
print(x)
# Sample ID: 653"
180,"if x == 5:
    print('x is 5')
# Sample ID: 279"
181,"x = [1, 2, 3]
print x
# Sample ID: 786"
182,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 819"
183,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 199"
184,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 808"
185,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 713"
186,"while True:
    do_something()
# Sample ID: 991"
187,"if x == 5:
    print('x is 5')
# Sample ID: 660"
188,"for i in range(10):
    print(i)
# Sample ID: 191"
189,"while True:
    do_something()
# Sample ID: 226"
190,"while True
    do_something()
# Sample ID: 603"
191,"def add(a, b)
    return a + b
# Sample ID: 271"
192,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 385"
193,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 232"
194,"if x = 5:
    print('x is 5')
# Sample ID: 50"
195,"def add(a, b)
    return a + b
# Sample ID: 463"
196,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 106"
197,"x = [1, 2, 3]
print x
# Sample ID: 856"
198,"if x = 5:
    print('x is 5')
# Sample ID: 694"
199,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 552"
200,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 873"
201,"def foo()
    print('Missing colon in function definition')
# Sample ID: 527"
202,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 174"
203,"while True
    do_something()
# Sample ID: 721"
204,"def add(a, b)
    return a + b
# Sample ID: 415"
205,"def foo()
    print('Missing colon in function definition')
# Sample ID: 238"
206,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 473"
207,"if x == 5:
    print('x is 5')
# Sample ID: 336"
208,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 64"
209,"def foo()
    print('Missing colon in function definition')
# Sample ID: 24"
210,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 767"
211,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 64"
212,"x = [1, 2, 3]
print x
# Sample ID: 290"
213,"while True
    do_something()
# Sample ID: 189"
214,"if x = 5:
    print('x is 5')
# Sample ID: 702"
215,"x = [1, 2, 3]
print(x)
# Sample ID: 815"
216,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 138"
217,"for i in range(10):
print(i)
# Sample ID: 355"
218,"def foo()
    print('Missing colon in function definition')
# Sample ID: 417"
219,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 246"
220,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 931"
221,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 197"
222,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 580"
223,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 135"
224,"for i in range(10):
    print(i)
# Sample ID: 814"
225,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 935"
226,"while True
    do_something()
# Sample ID: 434"
227,"x = [1, 2, 3]
print x
# Sample ID: 101"
228,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 655"
229,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 395"
230,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 939"
231,"while True
    do_something()
# Sample ID: 221"
232,"x = [1, 2, 3]
print(x)
# Sample ID: 676"
233,"if x == 5:
    print('x is 5')
# Sample ID: 498"
234,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 785"
235,"x = [1, 2, 3]
print x
# Sample ID: 345"
236,"def add(a, b):
    return a + b
# Sample ID: 28"
237,"for i in range(10):
print(i)
# Sample ID: 889"
238,"def add(a, b):
    return a + b
# Sample ID: 351"
239,"while True
    do_something()
# Sample ID: 553"
240,"def foo()
    print('Missing colon in function definition')
# Sample ID: 744"
241,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 542"
242,"if x = 5:
    print('x is 5')
# Sample ID: 539"
243,"for i in range(10):
print(i)
# Sample ID: 907"
244,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 395"
245,"def foo()
    print('Missing colon in function definition')
# Sample ID: 116"
246,"for i in range(10):
print(i)
# Sample ID: 830"
247,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 938"
248,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 809"
249,"while True:
    do_something()
# Sample ID: 311"
250,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 5"
251,"x = [1, 2, 3]
print x
# Sample ID: 306"
252,"x = [1, 2, 3]
print(x)
# Sample ID: 101"
253,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 480"
254,"for i in range(10):
    print(i)
# Sample ID: 424"
255,"if x == 5:
    print('x is 5')
# Sample ID: 76"
256,"if x = 5:
    print('x is 5')
# Sample ID: 571"
257,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 619"
258,"while True:
    do_something()
# Sample ID: 898"
259,"while True:
    do_something()
# Sample ID: 266"
260,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 79"
261,"while True:
    do_something()
# Sample ID: 912"
262,"if x = 5:
    print('x is 5')
# Sample ID: 33"
263,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 538"
264,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 34"
265,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 563"
266,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 352"
267,"def foo()
    print('Missing colon in function definition')
# Sample ID: 164"
268,"def foo()
    print('Missing colon in function definition')
# Sample ID: 204"
269,"while True:
    do_something()
# Sample ID: 54"
270,"for i in range(10):
    print(i)
# Sample ID: 365"
271,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 967"
272,"while True
    do_something()
# Sample ID: 496"
273,"while True:
    do_something()
# Sample ID: 625"
274,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 966"
275,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 963"
276,"def add(a, b)
    return a + b
# Sample ID: 611"
277,"if x = 5:
    print('x is 5')
# Sample ID: 433"
278,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 492"
279,"def add(a, b)
    return a + b
# Sample ID: 219"
280,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 931"
281,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 466"
282,"x = [1, 2, 3]
print x
# Sample ID: 631"
283,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 382"
284,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 302"
285,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 60"
286,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 299"
287,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 711"
288,"def foo()
    print('Missing colon in function definition')
# Sample ID: 74"
289,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 163"
290,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 275"
291,"for i in range(10):
    print(i)
# Sample ID: 594"
292,"while True:
    do_something()
# Sample ID: 434"
293,"def add(a, b):
    return a + b
# Sample ID: 613"
294,"def add(a, b)
    return a + b
# Sample ID: 592"
295,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 317"
296,"while True
    do_something()
# Sample ID: 46"
297,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 720"
298,"def add(a, b):
    return a + b
# Sample ID: 832"
299,"def add(a, b)
    return a + b
# Sample ID: 428"
300,"def foo()
    print('Missing colon in function definition')
# Sample ID: 582"
301,"x = [1, 2, 3]
print x
# Sample ID: 77"
302,"while True:
    do_something()
# Sample ID: 917"
303,"def add(a, b):
    return a + b
# Sample ID: 415"
304,"x = [1, 2, 3]
print x
# Sample ID: 781"
305,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 920"
306,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 174"
307,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 320"
308,"def foo()
    print('Missing colon in function definition')
# Sample ID: 938"
309,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 31"
310,"while True:
    do_something()
# Sample ID: 92"
311,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 616"
312,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 230"
313,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 975"
314,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 85"
315,"for i in range(10):
print(i)
# Sample ID: 515"
316,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 551"
317,"for i in range(10):
    print(i)
# Sample ID: 568"
318,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 811"
319,"while True:
    do_something()
# Sample ID: 574"
320,"x = [1, 2, 3]
print x
# Sample ID: 45"
321,"while True:
    do_something()
# Sample ID: 687"
322,"if x = 5:
    print('x is 5')
# Sample ID: 169"
323,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 304"
324,"while True
    do_something()
# Sample ID: 991"
325,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 556"
326,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 925"
327,"def add(a, b)
    return a + b
# Sample ID: 608"
328,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 619"
329,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 758"
330,"def add(a, b)
    return a + b
# Sample ID: 439"
331,"x = [1, 2, 3]
print x
# Sample ID: 583"
332,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 519"
333,"x = [1, 2, 3]
print x
# Sample ID: 528"
334,"if x = 5:
    print('x is 5')
# Sample ID: 343"
335,"if x == 5:
    print('x is 5')
# Sample ID: 737"
336,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 368"
337,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 186"
338,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 117"
339,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 755"
340,"def add(a, b):
    return a + b
# Sample ID: 426"
341,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 301"
342,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 904"
343,"if x = 5:
    print('x is 5')
# Sample ID: 833"
344,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 544"
345,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 601"
346,"def add(a, b)
    return a + b
# Sample ID: 351"
347,"x = [1, 2, 3]
print(x)
# Sample ID: 933"
348,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 511"
349,"def add(a, b)
    return a + b
# Sample ID: 979"
350,"while True
    do_something()
# Sample ID: 176"
351,"while True
    do_something()
# Sample ID: 483"
352,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 413"
353,"def add(a, b):
    return a + b
# Sample ID: 611"
354,"def foo()
    print('Missing colon in function definition')
# Sample ID: 124"
355,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 600"
356,"if x == 5:
    print('x is 5')
# Sample ID: 795"
357,"for i in range(10):
    print(i)
# Sample ID: 746"
358,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 379"
359,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 186"
360,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 486"
361,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 332"
362,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 789"
363,"x = [1, 2, 3]
print x
# Sample ID: 195"
364,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 638"
365,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 472"
366,"def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 714"
367,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 323"
368,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 197"
369,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 267"
370,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 544"
371,"if x == 5:
    print('x is 5')
# Sample ID: 804"
372,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 68"
373,"if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 738"
374,"while True:
    do_something()
# Sample ID: 593"
375,"x = [1, 2, 3]
print(x)
# Sample ID: 564"
376,"def add(a, b)
    return a + b
# Sample ID: 481"
377,"for i in range(10):
    print(i)
# Sample ID: 757"
378,"x = [1, 2, 3]
print(x)
# Sample ID: 913"
379,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 441"
380,"while True:
    do_something()
# Sample ID: 461"
381,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 888"
382,"def foo()
    print('Missing colon in function definition')
# Sample ID: 423"
383,"while True:
    do_something()
# Sample ID: 675"
384,"while True:
    do_something()
# Sample ID: 450"
385,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 765"
386,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 520"
387,"for i in range(10):
    print(i)
# Sample ID: 432"
388,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 614"
389,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 531"
390,"def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 783"
391,"def add(a, b):
    return a + b
# Sample ID: 659"
392,"for i in range(10):
print(i)
# Sample ID: 454"
393,"while True
    do_something()
# Sample ID: 731"
394,"def add(a, b)
    return a + b
# Sample ID: 535"
395,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 966"
396,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 285"
397,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 740"
398,"if x = 5:
    print('x is 5')
# Sample ID: 262"
399,"def add(a, b)
    return a + b
# Sample ID: 536"
400,"for i in range(10):
print(i)
# Sample ID: 969"
401,"while True
    do_something()
# Sample ID: 241"
402,"while True
    do_something()
# Sample ID: 820"
403,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 693"
404,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 421"
405,"for i in range(10):
    print(i)
# Sample ID: 86"
406,"while True:
    do_something()
# Sample ID: 999"
407,"while True
    do_something()
# Sample ID: 366"
408,"lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 23"
409,"while True:
    do_something()
# Sample ID: 241"
410,"while True
    do_something()
# Sample ID: 589"
411,"if x = 5:
    print('x is 5')
# Sample ID: 737"
412,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 762"
413,"def add(a, b)
    return a + b
# Sample ID: 942"
414,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 72"
415,"if x == 5:
    print('x is 5')
# Sample ID: 408"
416,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 260"
417,"x = [1, 2, 3]
print x
# Sample ID: 52"
418,"def foo()
    print('Missing colon in function definition')
# Sample ID: 199"
